afbeelding,aantal_ramen_deuren,dak_aanwezig
anderouput.png,41,1
halfvrijestaande (1)_contours.png,81,1
halfvrijestaande (4).png,31,1
halfvrijestaande (4)_contours.png,86,1
half_vrijstaand_type_e (1)_contours.png,127,1
levensloopwoning (1)_contours.png,149,1
levensloopwoning (4).png,29,1
levensloopwoning (4)_contours.png,148,1
levensloopwoning (4)_edges.png,32,1
morfologische_sluiting.png,43,0
outputRijwonen.jpg,592,0
rijwoning (1)_contours.png,101,0
rijwoning (3)_contours.png,144,0
rijwoning (9).png,93,0
rijwoning (9)_contours.png,97,0
rijwoning9_blurred.png,63,1
rug_rug (1).png,4,1
rug_rug (1)_contours.png,77,1
rug_rug (3).png,29,1
rug_rug (3)_contours.png,145,1
rug_rug (4).png,22,1
rug_rug (4)_contours.png,84,1
vrijstaande_woning (1).png,15,1
vrijstaande_woning (3).png,21,1
vrijstaande_woning (4).png,10,1
vrijstaande_woning (4)_contours.png,51,0
vrijstaande_woning (5).png,13,1
vrijstaande_woning (5)_contours.png,32,1
vrijstaande_woning (5)_edges.png,5,1
